item_id,obj_id,scene_id,episode_id,obj-distance,cmin,rmin,cmax,rmax,expected-bbox-area,ang-width-deg,ang-height-deg,visible-pixels,bbox-area,min-side,occupancy-ratio
36,Plate|2|12,house_007514,navigation-house_007514.csv,0.7498,0.0,183.0,25.0,223.0,1535.05,5.91,9.81,507.0,1000.0,25.0,0.507
37,SprayBottle|2|6,house_007514,navigation-house_007514.csv,4.8557,148.0,20.0,149.0,31.0,51.43,1.08,3.11,11.0,11.0,1.0,1.0
38,Statue|2|17,house_007514,navigation-house_007514.csv,5.1508,132.0,22.0,139.0,30.0,120.73,2.76,2.77,30.0,56.0,7.0,0.536
39,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,5.2285,169.0,25.0,174.0,29.0,44.79,2.17,1.42,15.0,20.0,4.0,0.75
40,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,5.0573,146.0,17.0,165.0,30.0,579.9,6.64,5.78,167.0,247.0,13.0,0.676
41,CounterTop|2|2,house_007514,navigation-house_007514.csv,5.1275,125.0,29.0,185.0,75.0,2984.8,16.95,12.68,2497.0,2760.0,46.0,0.905
42,door|1|2,house_007514,navigation-house_007514.csv,5.4574,221.0,0.0,243.0,96.0,3876.04,11.05,24.94,1462.0,2112.0,22.0,0.692
43,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.5482,279.0,0.0,395.0,175.0,23833.55,26.42,48.45,14967.0,20300.0,116.0,0.737
44,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.1248,0.0,128.0,120.0,223.0,13471.42,26.37,26.67,9689.0,11400.0,95.0,0.85
45,window|2|0,house_007514,navigation-house_007514.csv,1.3339,0.0,0.0,104.0,68.0,7642.13,19.89,18.14,5340.0,7072.0,68.0,0.755
46,window|2|1,house_007514,navigation-house_007514.csv,4.6071,106.0,36.0,107.0,38.0,4986.6,19.11,12.23,1.0,2.0,1.0,0.5
47,SprayBottle|2|6,house_007514,navigation-house_007514.csv,4.6608,145.0,20.0,147.0,32.0,57.41,1.15,3.25,12.0,24.0,2.0,0.5
48,Statue|2|17,house_007514,navigation-house_007514.csv,4.9583,129.0,22.0,136.0,30.0,133.5,2.9,2.9,28.0,56.0,7.0,0.5
49,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,5.0299,168.0,26.0,173.0,30.0,48.86,2.27,1.49,18.0,20.0,4.0,0.9
50,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,4.8608,144.0,17.0,164.0,31.0,626.57,6.88,6.02,184.0,280.0,14.0,0.657
51,CounterTop|2|2,house_007514,navigation-house_007514.csv,4.9341,122.0,30.0,185.0,78.0,3252.21,17.66,13.27,2742.0,3024.0,48.0,0.907
52,door|1|2,house_007514,navigation-house_007514.csv,5.2619,222.0,0.0,246.0,100.0,4445.36,12.01,26.3,1673.0,2400.0,24.0,0.697
53,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.4104,287.0,0.0,395.0,193.0,25279.93,25.16,53.03,14607.0,20844.0,108.0,0.701
54,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.1513,0.0,157.0,94.0,223.0,9221.49,24.02,18.94,5431.0,6204.0,66.0,0.875
55,window|2|0,house_007514,navigation-house_007514.csv,1.2081,0.0,0.0,95.0,68.0,8659.71,17.73,23.09,4960.0,6460.0,68.0,0.768
56,window|2|1,house_007514,navigation-house_007514.csv,4.4373,89.0,0.0,104.0,42.0,5540.26,19.75,12.81,212.0,630.0,15.0,0.337
57,SprayBottle|2|6,house_007514,navigation-house_007514.csv,4.4664,143.0,21.0,145.0,33.0,64.41,1.23,3.41,18.0,24.0,2.0,0.75
58,Statue|2|17,house_007514,navigation-house_007514.csv,4.7665,126.0,23.0,134.0,32.0,148.31,3.06,3.04,35.0,72.0,8.0,0.486
59,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,4.8314,167.0,26.0,172.0,31.0,53.51,2.37,1.56,21.0,25.0,5.0,0.84
60,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,4.6645,142.0,17.0,162.0,32.0,679.12,7.13,6.29,195.0,300.0,15.0,0.65
61,CounterTop|2|2,house_007514,navigation-house_007514.csv,4.7412,119.0,31.0,184.0,81.0,3557.05,18.42,13.91,2957.0,3250.0,50.0,0.91
62,door|1|2,house_007514,navigation-house_007514.csv,5.0667,223.0,0.0,250.0,106.0,5144.37,13.12,27.81,1937.0,2862.0,27.0,0.677
63,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.2818,296.0,0.0,395.0,210.0,26897.27,23.73,58.27,13045.0,20790.0,99.0,0.627
64,ObjaCounter|2|1,house_007514,navigation-house_007514.csv,1.2108,0.0,203.0,43.0,223.0,3425.36,20.85,7.3,746.0,860.0,20.0,0.867
65,window|2|0,house_007514,navigation-house_007514.csv,1.1044,0.0,0.0,84.0,68.0,10183.01,15.19,31.73,4446.0,5712.0,68.0,0.778
66,window|2|1,house_007514,navigation-house_007514.csv,4.2702,76.0,0.0,100.0,46.0,5602.95,18.93,13.47,568.0,1104.0,24.0,0.514
67,SprayBottle|2|6,house_007514,navigation-house_007514.csv,4.2724,140.0,22.0,143.0,35.0,72.69,1.32,3.58,22.0,39.0,3.0,0.564
68,Statue|2|17,house_007514,navigation-house_007514.csv,4.5753,122.0,24.0,131.0,33.0,165.63,3.23,3.2,36.0,81.0,9.0,0.444
69,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,4.6331,165.0,27.0,171.0,32.0,58.85,2.49,1.64,22.0,30.0,5.0,0.733
70,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,4.4686,140.0,18.0,161.0,33.0,738.56,7.4,6.58,215.0,315.0,15.0,0.683
71,CounterTop|2|2,house_007514,navigation-house_007514.csv,4.549,115.0,32.0,184.0,84.0,3906.63,19.26,14.61,3242.0,3588.0,52.0,0.904
72,door|1|2,house_007514,navigation-house_007514.csv,4.8719,224.0,0.0,254.0,111.0,6014.71,14.42,29.49,2248.0,3330.0,30.0,0.675
73,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.1641,306.0,0.0,395.0,223.0,25644.89,22.08,58.7,10487.0,19847.0,89.0,0.528
74,window|2|0,house_007514,navigation-house_007514.csv,1.0296,0.0,0.0,69.0,68.0,12919.47,12.18,49.11,3725.0,4692.0,68.0,0.794
75,window|2|1,house_007514,navigation-house_007514.csv,4.1059,61.0,0.0,96.0,50.0,5658.37,18.05,14.2,1103.0,1750.0,35.0,0.63
76,SprayBottle|2|6,house_007514,navigation-house_007514.csv,4.079,137.0,22.0,140.0,36.0,82.54,1.42,3.77,24.0,42.0,3.0,0.571
77,Statue|2|17,house_007514,navigation-house_007514.csv,4.3849,119.0,24.0,128.0,35.0,186.01,3.42,3.37,40.0,99.0,9.0,0.404
78,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,4.4349,164.0,28.0,170.0,33.0,65.02,2.61,1.72,24.0,30.0,5.0,0.8
79,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,4.273,137.0,18.0,159.0,34.0,806.15,7.7,6.9,229.0,352.0,16.0,0.651
80,CounterTop|2|2,house_007514,navigation-house_007514.csv,4.3575,111.0,33.0,183.0,88.0,4310.08,20.16,15.38,3577.0,3960.0,55.0,0.903
81,door|1|2,house_007514,navigation-house_007514.csv,4.6775,225.0,0.0,258.0,118.0,7115.98,15.95,31.39,2631.0,3894.0,33.0,0.676
82,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,2.0591,319.0,71.0,395.0,223.0,23873.31,20.18,58.7,6405.0,11552.0,76.0,0.554
83,window|2|0,house_007514,navigation-house_007514.csv,0.9901,0.0,0.0,51.0,68.0,11649.68,8.59,58.7,2669.0,3468.0,51.0,0.77
84,window|2|1,house_007514,navigation-house_007514.csv,3.945,41.0,0.0,92.0,56.0,5703.42,17.11,15.01,1926.0,2856.0,51.0,0.674
85,SprayBottle|2|6,house_007514,navigation-house_007514.csv,3.8863,134.0,23.0,137.0,38.0,94.39,1.53,3.98,27.0,45.0,3.0,0.6
86,Statue|2|17,house_007514,navigation-house_007514.csv,4.1954,115.0,25.0,125.0,36.0,210.22,3.63,3.56,49.0,110.0,10.0,0.445
87,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,4.2369,163.0,29.0,169.0,35.0,72.19,2.75,1.82,30.0,36.0,6.0,0.833
88,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,4.0779,134.0,19.0,157.0,35.0,883.47,8.01,7.25,255.0,368.0,16.0,0.693
89,CounterTop|2|2,house_007514,navigation-house_007514.csv,4.1667,106.0,34.0,183.0,91.0,4779.05,21.15,16.23,3913.0,4389.0,57.0,0.892
90,door|1|2,house_007514,navigation-house_007514.csv,4.4836,226.0,0.0,264.0,125.0,8535.94,17.76,33.52,3124.0,4750.0,38.0,0.658
91,ObjaRefrigerator|2|3,house_007514,navigation-house_007514.csv,1.9689,351.0,149.0,395.0,223.0,21731.08,17.94,58.7,1587.0,3256.0,44.0,0.487
92,window|2|0,house_007514,navigation-house_007514.csv,0.9902,0.0,0.0,26.0,68.0,1640.9,4.26,14.66,1017.0,1768.0,26.0,0.575
93,window|2|1,house_007514,navigation-house_007514.csv,3.7878,14.0,0.0,87.0,63.0,5733.95,16.12,15.94,3233.0,4599.0,63.0,0.703
94,Knife|2|5,house_007514,navigation-house_007514.csv,4.059,129.0,37.0,131.0,38.0,22.16,1.66,0.87,1.0,2.0,1.0,0.5
95,SprayBottle|2|6,house_007514,navigation-house_007514.csv,3.6944,131.0,24.0,134.0,40.0,108.78,1.66,4.21,34.0,48.0,3.0,0.708
96,Statue|2|17,house_007514,navigation-house_007514.csv,4.0069,110.0,26.0,121.0,38.0,239.22,3.86,3.77,53.0,132.0,11.0,0.402
97,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,4.0391,161.0,30.0,168.0,36.0,80.6,2.91,1.93,33.0,42.0,6.0,0.786
98,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,3.8833,131.0,20.0,155.0,37.0,972.48,8.35,7.64,284.0,408.0,17.0,0.696
99,CounterTop|2|2,house_007514,navigation-house_007514.csv,3.9769,101.0,35.0,182.0,96.0,5328.43,22.24,17.17,4387.0,4941.0,61.0,0.888
100,door|1|2,house_007514,navigation-house_007514.csv,4.2903,227.0,0.0,270.0,134.0,10408.21,19.95,35.94,3749.0,5762.0,43.0,0.651
101,window|2|1,house_007514,navigation-house_007514.csv,3.6348,0.0,0.0,83.0,67.0,5744.27,15.05,16.99,4392.0,5561.0,67.0,0.79
102,Fridge|2|0,house_007514,navigation-house_007514.csv,2.6637,0.0,54.0,44.0,149.0,10147.3,7.66,56.9,38.0,4180.0,44.0,0.009
103,SprayBottle|2|6,house_007514,navigation-house_007514.csv,3.5034,127.0,25.0,131.0,42.0,126.44,1.8,4.48,43.0,68.0,4.0,0.632
104,Statue|2|17,house_007514,navigation-house_007514.csv,3.8196,105.0,28.0,117.0,40.0,274.34,4.12,4.01,63.0,144.0,12.0,0.438
105,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,3.8415,159.0,32.0,166.0,38.0,90.54,3.08,2.05,34.0,42.0,6.0,0.81
106,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,3.6892,129.0,20.0,153.0,39.0,1075.64,8.72,8.07,327.0,456.0,19.0,0.717
107,CounterTop|2|2,house_007514,navigation-house_007514.csv,3.7881,95.0,37.0,181.0,100.0,5977.62,23.43,18.21,4802.0,5418.0,63.0,0.886
108,door|1|2,house_007514,navigation-house_007514.csv,4.0976,228.0,0.0,278.0,144.0,12944.47,22.6,38.69,4567.0,7200.0,50.0,0.634
109,Fridge|2|0,house_007514,navigation-house_007514.csv,2.5651,0.0,104.0,31.0,174.0,7560.23,5.32,58.7,951.0,2170.0,31.0,0.438
110,window|2|1,house_007514,navigation-house_007514.csv,3.4865,0.0,0.0,77.0,72.0,5726.53,13.91,18.2,4493.0,5544.0,72.0,0.81
111,SprayBottle|2|6,house_007514,navigation-house_007514.csv,3.3135,122.0,27.0,127.0,44.0,148.38,1.97,4.78,47.0,85.0,5.0,0.553
112,Statue|2|17,house_007514,navigation-house_007514.csv,3.6336,100.0,29.0,113.0,42.0,317.33,4.4,4.28,71.0,169.0,13.0,0.42
113,ObjaBooks|2|2,house_007514,navigation-house_007514.csv,3.6442,157.0,33.0,165.0,40.0,102.4,3.27,2.19,46.0,56.0,7.0,0.821
114,ObjaFigure|2|4,house_007514,navigation-house_007514.csv,3.4958,125.0,21.0,151.0,41.0,1196.14,9.11,8.55,369.0,520.0,20.0,0.71
115,CounterTop|2|2,house_007514,navigation-house_007514.csv,3.6005,88.0,38.0,181.0,106.0,6752.22,24.74,19.38,5495.0,6324.0,68.0,0.869
116,door|1|2,house_007514,navigation-house_007514.csv,3.9057,230.0,0.0,287.0,155.0,16497.19,25.87,41.84,5660.0,8835.0,57.0,0.641
117,Fridge|2|0,house_007514,navigation-house_007514.csv,2.4787,0.0,155.0,14.0,192.0,4022.29,2.72,58.7,318.0,518.0,14.0,0.614
118,window|2|1,house_007514,navigation-house_007514.csv,3.3437,0.0,0.0,71.0,77.0,5669.8,12.69,19.61,4243.0,5467.0,71.0,0.776
